CAMI ADI;ADRES;ENLEM;BOYLAM
ABDULLAH PEHLİVANLI C.;Postane Mahallesi Kılıç Cadde No:6 Tuzla / İstanbul;40.8183481474601;29.2974224311931
AKFIRAT KİRAZLI MH. BEHİCE ÇİZMECİ C.;Tepeören Mahallesi Ertuğrul Sokak No: 7 Tuzla / İstanbul;40.9134799438525;29.4025172046736
AKFIRAT MERKEZ C.;Akfırat Mahallesi 16. Sokak No: 5 Tuzla / İstanbul;40.9242187577142;29.4158908803365
AKFIRAT MH.ŞİFA C.;Akfırat Mahallesi 8. Sokak No: 6 Tuzla / İstanbul;40.9228926017152;29.4129699468613
ANADOLU MH.AKŞEMSETTİN C.;Anadolu Mah. Alsancak Cad. No: 25/1 - Tuzla / İstanbul;40.9072189080928;29.3750970738163
AYDINLI EBUBEKİR C.;Aydınlı Mahallesi Süheyla Sokak No: 100 Tuzla / İstanbul;40.8850968426046;29.3364036083221
AYDINLI MH.DERİ SANAYİ C.;Aydınlı Mahallesi Organize Deri Sanayi Bölgesi 1. Yol Kazlıçeşme Cadde No: 3 Tuzla / İstanbul;40.8804842266466;29.3506301023744
AYDINLI MH.HACILAR C.;Aydınlı Mahallesi Ayçiçeği Sokak No: 19 Tuzla / İstanbul;40.8633510525552;29.3443590402603
AYDINLI MH.HÜDA C.;Aydınlı Mahallesi Dersaadet Cadde No: 29 Tuzla / İstanbul;40.8728314889026;29.3313664197922
AYDINLI MH.YUNUSEMRE C.;Aydınlı Mahallesi Yeniyurt Sokak No: 38 Tuzla / İstanbul;40.8598856431839;29.3405113962178
AYDINLI YILDIZ C.;Aydınlı Mahallesi Çilek Sokak No: 2 Tuzla / İstanbul;40.8628503174995;29.3281208562364
AYDINTEPE MERKEZ C.;Aydıntepe Mahallesi Tevhid Sokak No: 13 Tuzla / İstanbul;40.8534405339091;29.295211254372
AYDINTEPE MH.YEŞİLDERE MERKEZ C.;Aydıntepe Mahallesi Fedakar Sokak No: 1 Tuzla / İstanbul;40.8538983711067;29.300700868269
BİRMES SANAYİ SİTESİ MESCİDİ;Mescit Mahallesi Demokrasi Cadde No: 5 Tuzla / İstanbul;40.8823785247645;29.3454158811405
BOSB AHMET SELİM TELLİ C.;Aydınlı - Birlik Osb Mahallesi 1 Nolu Cadde No: 2 Tuzla / İstanbul;40.8784517118723;29.3988639052566
DENİZ HARP OKULU C.;Postane Mahallesi Rauf Orbay Cadde No: 193 A Tuzla / İstanbul;40.814;29.2929
EL-EMİN C.;Evliya Çelebi Mahallesi Genç Osman Cadde No: 52 Tuzla / İstanbul;40.8403201438686;29.2954296424682
EVLİYA ÇELEBİ MH.EVLİYA ÇELEBİ;Evliya Çelebi Mahallesi Hatboyu Cadde No: 54 /1 Tuzla / İstanbul;40.8404849049364;29.3063554204609
FATİH C.;Şifa Mahallesi Yeşilay Sokak No: 33 Tuzla / İstanbul;40.827157144502;29.3605113029479
FATİH MH. ENSAR C.;Fatih Mahallesi Avşar Sokak No: 10 Tuzla / İstanbul;40.9279403452874;29.3415937456302
GİSBİR SAHİL C.;Cami Mahallesi Şehitler Cadde No: 14 /1 Tuzla / İstanbul;40.813041804422;29.3079290377184
HACI BEKİR YILDIRIM C.;Aydınlı Mahallesi İnal Sokak No: 5 Tuzla / İstanbul;40.8764926638524;29.3131542834453
HACI MUSTAFA EMİNOĞLU C.;Yayla Mahallesi Şinasi Dural Cadde No: 10 A Tuzla / İstanbul;40.8336778902092;29.3034070730209
HACI ZARİFE ÖRS C.;Postane Mahallesi Çağlayan Sokak No: 4 Tuzla / İstanbul;40.8186519740907;29.2899373352169
HASANI BASRİ C.;Mimar Sinan Mahallesi Tecelli Sokak No: 26 Tuzla / İstanbul;40.8387516863455;29.362389301376
HZ.ALİ C.;Mimar Sinan Mahallesi İhlas Sokak No: 26 Tuzla / İstanbul;40.8456792360904;29.3629427634418
HZ.OSMAN C.;Aydınlı Mahallesi Bayram Sokak No: 6 Tuzla / İstanbul;40.877305523744;29.3350946903229
HZ.ÖMER C.;Evliya Çelebi Mahallesi Sefa Sokak No: 6 Tuzla / İstanbul;40.84331659901;29.2969376477412
İÇMELER İSTASYON C.;İçmeler Mahallesi Harmanlı Sokak No: 4 /1 Tuzla / İstanbul;40.8457396084392;29.3006230029278
İÇMELER MH.İÇMELER MERKEZ C.;İçmeler Mahallesi Ankara Cadde No: 34 Tuzla / İstanbul;40.8484659499094;29.305062310422
İÇMELER MH.MUHAMMEDÜL EMİN C.;İçmeler Mahallesi Enise Sokak No: 35 Tuzla / İstanbul;40.845964698485;29.3072319030762
İSTANBUL ANADOLU YAKASI ORGANİZE SANAYİ BÖLGESİ C.;Aydınlı - İstanbul Ayosb Mahallesi 1. Sokak No: 1 Tuzla / İstanbul;40.8845513518232;29.3859401726144
İSTANBUL DERİ OSB YAN SANAYİ C.;Deri Osb Mahallesi Yan Sanayi Cadde No: 6 Tuzla / İstanbul;40.8766;29.3409
İSTANBUL NAKLİYECİLER SİTESİ MESCİDİ;Orhanlı Mahallesi Demokrasi Cadde No: 111 Tuzla / İstanbul;40.8996878295207;29.3642030004612
İSTASYON ÇİÇEKÇİLER C.;İstasyon Mahallesi Hançer Sokak No: 16 Tuzla / İstanbul;40.827494055259;29.3181163072586
İSTASYON DÖRTYOL C.;İstasyon Mahallesi İstasyon Cadde No: 184 Tuzla / İstanbul;40.8259825593875;29.3247467908077
İSTASYON YENİ C.;İstasyon Mahallesi Güllü Bahçe Sokak No: 8 Tuzla / İstanbul;40.8312324320345;29.321790933609
KASRİ ARİFAN MESCİDİ;Tepeören Mahallesi Eski Ankara Asfaltı Cadde No: 121 Tuzla / İstanbul;40.9104396594869;29.3837016820908
MELEK ÇÖKMEZ C.;Tepeören Mahallesi Kurtdoğmuş Yolu Cadde No: 1 Tuzla / İstanbul;40.935;29.3563
MERCAN YENİ C.;Postane Mahallesi Enis Sokak No: 9 Tuzla / İstanbul;40.8218809690004;29.2835563523905
MİMAR SİNAN MERKEZ C.;Mimar Sinan Mahallesi Bahriye Sokak No: 2 Tuzla / İstanbul;40.8315537537925;29.3627401959459
MİMAR SİNAN MH.YAVUZ SELİM C.;Mimar Sinan Mahallesi Kömürcü Sokak No: 16 C Tuzla / İstanbul;40.841479324774;29.3617841713727
MİMARSİNAN MH.GÜMÜŞPINAR C.;Mimar Sinan Mahallesi Emiroğlu Cadde No: 80 Tuzla / İstanbul;40.8342927920564;29.3616056442261
NALBANT C.;Yayla Mahallesi Kadim Sokak No: 11 Tuzla / İstanbul;40.82883300832;29.3082833918743
NAZMİ DURBAKAYIM C.;Aydıntepe Mahallesi Harbiye Sokak No: 21 Tuzla / İstanbul;40.8595739153047;29.3028379113457
NECİP FAZIL KISAKÜREK C.;Aydınlı Mahallesi Erdemli Sokak No: 5 Tuzla / İstanbul;40.864682081005;29.3407819299752
Nişancı Mehmet Paşa C.;Aydınlı Mahallesi İzzet Kabadayı Sokak Tuzla / İstanbul;40.8698794545044;29.3268771196189
ORHANLI HACI AHMET C.;Mescit Mahallesi Adnan Kahveci Cadde No: 37 Tuzla / İstanbul;40.8958677123805;29.3511128425598
ORHANLI MERKEZ C.;Orhanlı Mahallesi Çeşme Cad. No: 17 Tuzla / İstanbul;40.8939316435283;29.3565227015572
ORHANLI SANAYİ C.;Orta Mahallesi Cengizhan Cadde No: 11 A Tuzla / İstanbul;40.8977;29.3862
ORHANLI YAVUZ SELİM C.;Orhanlı Mahallesi Gençlik Cadde No: 6 Tuzla / İstanbul;40.9016249973078;29.3519737649556
ORHANLI YEŞİL C.;Mescit Mahallesi Malazgirt Cadde No: 1 Tuzla / İstanbul;40.8925076518572;29.3522786196013
ORTA MH.C.;Orta Mahallesi Sıraevler Sokak No: 2 Tuzla / İstanbul;40.9019826605149;29.3779570304114
PİYADE OKULU C.;İstasyon Mahallesi Şehitler Cadde No: 70 /2 Tuzla / İstanbul;40.8274401748721;29.3324655054379
SS 192 NOLU DERSAN KOOPERATİFİ C.;Aydınlı - İstanbul Ayosb Mahallesi 6. Sokak No: 1 Tuzla / İstanbul;40.8709075582841;29.3763630262126
SULTAN 1.AHMET C.;Cami Mahallesi Mimar Sinan Cadde Ova Sokak. Tuzla / İstanbul;40.8167810788757;29.3050472438335
ŞEHİT ÖMER ÖNER C.;Aydınlı Mahallesi Kar Sokak No: 27 Tuzla / İstanbul;40.8784267971178;29.3209469291623
ŞEHİTLER C.;Aydıntepe Mahallesi Alaaddin Sokak No: 3 Tuzla / İstanbul;40.8635;29.2981
ŞİFA MERKEZ C.;Şifa Mahallesi Cihangir Sokak No: 14 Tuzla / İstanbul;40.8269337155526;29.3525909200717
ŞİFA MH.KİPTAŞ İMAM GAZALİ C.;Şifa Mahallesi Hürriyet Cadde No: 63 Tuzla / İstanbul;40.8284986442614;29.3559454648467
ŞİFA MH.MEVLANA C.;Şifa Mahallesi Serpil Sokak No: 39 Tuzla / İstanbul;40.8379801128617;29.357898570598
