MUHTARLIK ADI,ADRES,ENLEM,BOYLAM
Evliya Çelebi Mahallesi Muhtarlığı,"Evliya Çelebi, Sadakat Sk. No:6, 34944 Tuzla/İstanbul",40.8420579934382,29.300134
Şifa Mahalle Muhtarlığı,"Şifa, Hürriyet Cd. No:78, 34950 Tuzla/İstanbul",40.8271875383361,29.3573379560447
Postane Mahallesi Muhtarlığı,"Postane, Tahaffuzhane Cd. No:3, 34940 Tuzla/İstanbul",40.817730564944,29.3038719137175
İstasyon Mahallesi Muhtarlığı,"İstasyon, 34940 Tuzla/İstanbul",40.8359044004235,29.322596920766
Aydıntepe Muhtarlığı,"Aydıntepe Mh. 100. Yıl Cd. No:5/1 Pk:34947 Tuzla/istanbul, 34944",40.8526595145973,29.2990484560454
Tepeören Mahallesi Muhtarlığı,"Tepeören, Eski Ankara Asfaltı Cd. No:170, 34959 Tuzla/İstanbul",40.9103234591152,29.3885601695372
Aydınlı Mahallesi Muhtarlığı,"Aydınlı Mh., Gürpınar Cad. No:30, 34953 Tuzla/İstanbul",40.8707451616008,29.3297101118629
İçmeler Mahallesi Muhtarlığı,"İçmeler, Fırat Sk. No:2, 34947 Tuzla/İstanbul",40.8491549867697,29.3057507272086
Fatih Mahallesi Muhtarlığı,"Fatih, Fatih Sultan Cd. No:54 D:1, 34956 Tuzla/İstanbul",40.9330127871899,29.3431604139983
Yayla Mahallesi Muhtarlığı,"Yayla, Erler Sk. No:13, 34944 Tuzla/İstanbul",40.8345952608511,29.3084847346825
Orhanlı Orta Mahallesi Muhtarlığı,"Orta, Demokrasi Cd. No:168, 34956 Tuzla/İstanbul",40.904750636244,29.3786320272101
Mimar Sinan Mahallesi Muhtarlığı,"Mimar Sinan Mh, Hacettepe Sk. No:48, 34950 Tuzla/İstanbul",40.8112738982955,29.3847993434124
Cami Mahallesi Muhtarlığı,"Cami Mh, Papaz Çeşme Cd. No:10, Pk:34940 Tuzla/İstanbul",40.8202608354328,29.3075392525386
Anadolu Mahallesi Muhtarlığı,"Anadolu, Alsancak Cd. No:4, 34956 Tuzla/İstanbul",40.9254775257744,29.3730618536402
Orhanlı Mahallesi Muhtarlığı,"Orhanlı Mah, Demokrasi Cd. No:58, 34956 Tuzla/İstanbul",40.8959812375811,29.357037738844
Akfırat Mahallesi Muhtarlığı,"Akfırat, 16. Sk. No:3, 34959 Tuzla/İstanbul",40.9245108272775,29.4161417695373
Mescit Mahallesi Muhtarlığı,"Mescit Mh. Turgut Özal Cd. Pk:34956 Tuzla/istanbul, 34935",40.8950565304693,29.3550992695368
